tweet_id,favorites,retweets,user_followers,user_favourites,date_time
675740360753160193,1174,348,,,2015-12-12 18:13:51+00:00
675710890956750848,1898,823,,,2015-12-12 16:16:45+00:00
675707330206547968,1987,693,,,2015-12-12 16:02:36+00:00
675706639471788032,646,97,,,2015-12-12 15:59:51+00:00
675534494439489536,1828,420,,,2015-12-12 04:35:48+00:00
675531475945709568,1189,387,,,2015-12-12 04:23:49+00:00
675522403582218240,1043,289,,,2015-12-12 03:47:46+00:00
675517828909424640,1295,466,,,2015-12-12 03:29:35+00:00
675501075957489664,17231,5870,,,2015-12-12 02:23:01+00:00
675497103322386432,3156,1304,,,2015-12-12 02:07:14+00:00
675489971617296384,1305,602,,,2015-12-12 01:38:53+00:00
675483430902214656,1845,984,,,2015-12-12 01:12:54+00:00
675432746517426176,1528,569,,,2015-12-11 21:51:30+00:00
